":START_ID",":END_ID",":TYPE"
"jjaf231.120","ecco-2026","PRESENTED_AT"
"jjaf231.121","ecco-2026","PRESENTED_AT"
"jjaf231.122","ecco-2026","PRESENTED_AT"
"jjaf231.123","ecco-2026","PRESENTED_AT"
"jjaf231.124","ecco-2026","PRESENTED_AT"
"jjaf231.125","ecco-2026","PRESENTED_AT"
"jjaf231.127","ecco-2026","PRESENTED_AT"
"jjaf231.128","ecco-2026","PRESENTED_AT"
"jjaf231.129","ecco-2026","PRESENTED_AT"
"jjaf231.130","ecco-2026","PRESENTED_AT"
"jjaf231.131","ecco-2026","PRESENTED_AT"
"jjaf231.132","ecco-2026","PRESENTED_AT"
"jjaf231.133","ecco-2026","PRESENTED_AT"
"jjaf231.134","ecco-2026","PRESENTED_AT"
"jjaf231.135","ecco-2026","PRESENTED_AT"
"jjaf231.136","ecco-2026","PRESENTED_AT"
"jjaf231.137","ecco-2026","PRESENTED_AT"
"jjaf231.138","ecco-2026","PRESENTED_AT"
"jjaf231.139","ecco-2026","PRESENTED_AT"
"jjaf231.140","ecco-2026","PRESENTED_AT"
"jjaf231.141","ecco-2026","PRESENTED_AT"
"jjaf231.142","ecco-2026","PRESENTED_AT"
"jjaf231.143","ecco-2026","PRESENTED_AT"
"jjaf231.144","ecco-2026","PRESENTED_AT"
"jjaf231.145","ecco-2026","PRESENTED_AT"
"jjaf231.146","ecco-2026","PRESENTED_AT"
"jjaf231.147","ecco-2026","PRESENTED_AT"
"jjaf231.148","ecco-2026","PRESENTED_AT"
"jjaf231.149","ecco-2026","PRESENTED_AT"
"jjaf231.150","ecco-2026","PRESENTED_AT"
"jjaf231.151","ecco-2026","PRESENTED_AT"
"jjaf231.152","ecco-2026","PRESENTED_AT"
"jjaf231.153","ecco-2026","PRESENTED_AT"
"jjaf231.154","ecco-2026","PRESENTED_AT"
"jjaf231.155","ecco-2026","PRESENTED_AT"
"jjaf231.156","ecco-2026","PRESENTED_AT"
"jjaf231.157","ecco-2026","PRESENTED_AT"
"jjaf231.158","ecco-2026","PRESENTED_AT"
"jjaf231.159","ecco-2026","PRESENTED_AT"
"jjaf231.160","ecco-2026","PRESENTED_AT"
"jjaf231.161","ecco-2026","PRESENTED_AT"
"jjaf231.162","ecco-2026","PRESENTED_AT"
"jjaf231.163","ecco-2026","PRESENTED_AT"
"jjaf231.164","ecco-2026","PRESENTED_AT"
"jjaf231.165","ecco-2026","PRESENTED_AT"
"jjaf231.166","ecco-2026","PRESENTED_AT"
"jjaf231.167","ecco-2026","PRESENTED_AT"
"jjaf231.169","ecco-2026","PRESENTED_AT"
"jjaf231.170","ecco-2026","PRESENTED_AT"
"jjaf231.171","ecco-2026","PRESENTED_AT"
"jjaf231.172","ecco-2026","PRESENTED_AT"
"jjaf231.173","ecco-2026","PRESENTED_AT"
"jjaf231.174","ecco-2026","PRESENTED_AT"
"jjaf231.175","ecco-2026","PRESENTED_AT"
"jjaf231.176","ecco-2026","PRESENTED_AT"
"jjaf231.177","ecco-2026","PRESENTED_AT"
"jjaf231.178","ecco-2026","PRESENTED_AT"
"jjaf231.179","ecco-2026","PRESENTED_AT"
"jjaf231.180","ecco-2026","PRESENTED_AT"
"jjaf231.181","ecco-2026","PRESENTED_AT"
"jjaf231.182","ecco-2026","PRESENTED_AT"
"jjaf231.183","ecco-2026","PRESENTED_AT"
"jjaf231.184","ecco-2026","PRESENTED_AT"
"jjaf231.185","ecco-2026","PRESENTED_AT"
"jjaf231.186","ecco-2026","PRESENTED_AT"
"jjaf231.187","ecco-2026","PRESENTED_AT"
"jjaf231.188","ecco-2026","PRESENTED_AT"
"jjaf231.189","ecco-2026","PRESENTED_AT"
"jjaf231.190","ecco-2026","PRESENTED_AT"
"jjaf231.191","ecco-2026","PRESENTED_AT"
"jjaf231.192","ecco-2026","PRESENTED_AT"
"jjaf231.193","ecco-2026","PRESENTED_AT"
"jjaf231.194","ecco-2026","PRESENTED_AT"
"jjaf231.195","ecco-2026","PRESENTED_AT"
"jjaf231.196","ecco-2026","PRESENTED_AT"
"jjaf231.197","ecco-2026","PRESENTED_AT"
"jjaf231.198","ecco-2026","PRESENTED_AT"
"jjaf231.199","ecco-2026","PRESENTED_AT"
"jjaf231.200","ecco-2026","PRESENTED_AT"
"jjaf231.201","ecco-2026","PRESENTED_AT"
"jjaf231.202","ecco-2026","PRESENTED_AT"
"jjaf231.203","ecco-2026","PRESENTED_AT"
"jjaf231.204","ecco-2026","PRESENTED_AT"
"jjaf231.205","ecco-2026","PRESENTED_AT"
"jjaf231.206","ecco-2026","PRESENTED_AT"
"jjaf231.207","ecco-2026","PRESENTED_AT"
"jjaf231.208","ecco-2026","PRESENTED_AT"
"jjaf231.209","ecco-2026","PRESENTED_AT"
"jjaf231.210","ecco-2026","PRESENTED_AT"
"jjaf231.211","ecco-2026","PRESENTED_AT"
"jjaf231.212","ecco-2026","PRESENTED_AT"
"jjaf231.213","ecco-2026","PRESENTED_AT"
"jjaf231.214","ecco-2026","PRESENTED_AT"
"jjaf231.215","ecco-2026","PRESENTED_AT"
"jjaf231.216","ecco-2026","PRESENTED_AT"
"jjaf231.217","ecco-2026","PRESENTED_AT"
"jjaf231.218","ecco-2026","PRESENTED_AT"
"jjaf231.219","ecco-2026","PRESENTED_AT"
"jjaf231.220","ecco-2026","PRESENTED_AT"
"jjaf231.221","ecco-2026","PRESENTED_AT"
"jjaf231.222","ecco-2026","PRESENTED_AT"
"jjaf231.223","ecco-2026","PRESENTED_AT"
"jjaf231.224","ecco-2026","PRESENTED_AT"
"jjaf231.225","ecco-2026","PRESENTED_AT"
"jjaf231.226","ecco-2026","PRESENTED_AT"
"jjaf231.227","ecco-2026","PRESENTED_AT"
"jjaf231.228","ecco-2026","PRESENTED_AT"
"jjaf231.229","ecco-2026","PRESENTED_AT"
"jjaf231.230","ecco-2026","PRESENTED_AT"
"jjaf231.231","ecco-2026","PRESENTED_AT"
"jjaf231.232","ecco-2026","PRESENTED_AT"
"jjaf231.233","ecco-2026","PRESENTED_AT"
"jjaf231.234","ecco-2026","PRESENTED_AT"
"jjaf231.235","ecco-2026","PRESENTED_AT"
"jjaf231.236","ecco-2026","PRESENTED_AT"
"jjaf231.237","ecco-2026","PRESENTED_AT"
"jjaf231.238","ecco-2026","PRESENTED_AT"
"jjaf231.239","ecco-2026","PRESENTED_AT"
"jjaf231.240","ecco-2026","PRESENTED_AT"
"jjaf231.241","ecco-2026","PRESENTED_AT"
"jjaf231.242","ecco-2026","PRESENTED_AT"
"jjaf231.243","ecco-2026","PRESENTED_AT"
"jjaf231.244","ecco-2026","PRESENTED_AT"
"jjaf231.245","ecco-2026","PRESENTED_AT"
"jjaf231.246","ecco-2026","PRESENTED_AT"
"jjaf231.247","ecco-2026","PRESENTED_AT"
"jjaf231.248","ecco-2026","PRESENTED_AT"
"jjaf231.249","ecco-2026","PRESENTED_AT"
"jjaf231.250","ecco-2026","PRESENTED_AT"
"jjaf231.251","ecco-2026","PRESENTED_AT"
"jjaf231.252","ecco-2026","PRESENTED_AT"
"jjaf231.253","ecco-2026","PRESENTED_AT"
"jjaf231.254","ecco-2026","PRESENTED_AT"
"jjaf231.255","ecco-2026","PRESENTED_AT"
"jjaf231.256","ecco-2026","PRESENTED_AT"
"jjaf231.258","ecco-2026","PRESENTED_AT"
"jjaf231.259","ecco-2026","PRESENTED_AT"
"jjaf231.260","ecco-2026","PRESENTED_AT"
"jjaf231.261","ecco-2026","PRESENTED_AT"
"jjaf231.262","ecco-2026","PRESENTED_AT"
"jjaf231.263","ecco-2026","PRESENTED_AT"
"jjaf231.264","ecco-2026","PRESENTED_AT"
"jjaf231.265","ecco-2026","PRESENTED_AT"
"jjaf231.266","ecco-2026","PRESENTED_AT"
"jjaf231.267","ecco-2026","PRESENTED_AT"
"jjaf231.268","ecco-2026","PRESENTED_AT"
"jjaf231.269","ecco-2026","PRESENTED_AT"
"jjaf231.270","ecco-2026","PRESENTED_AT"
