":START_ID",":END_ID","weight:int",":TYPE"
"2a86cbc3e8ba","0b540f889747","1","CO_AUTHORED_WITH"
"2a86cbc3e8ba","63ac55128c29","1","CO_AUTHORED_WITH"
"881ad12f3573","2a86cbc3e8ba","1","CO_AUTHORED_WITH"
"6c0fb35b4c57","2a86cbc3e8ba","1","CO_AUTHORED_WITH"
"ac64b5fc5265","870ecc30a9fe","1","CO_AUTHORED_WITH"
"524de46f5c78","ac64b5fc5265","1","CO_AUTHORED_WITH"
"ac64b5fc5265","2592e5013cb5","1","CO_AUTHORED_WITH"
"ac64b5fc5265","0b540f889747","1","CO_AUTHORED_WITH"
"ac64b5fc5265","63ac55128c29","1","CO_AUTHORED_WITH"
"881ad12f3573","ac64b5fc5265","1","CO_AUTHORED_WITH"
"6c0fb35b4c57","ac64b5fc5265","1","CO_AUTHORED_WITH"
"524de46f5c78","870ecc30a9fe","1","CO_AUTHORED_WITH"
"2592e5013cb5","870ecc30a9fe","1","CO_AUTHORED_WITH"
"0b540f889747","870ecc30a9fe","1","CO_AUTHORED_WITH"
"63ac55128c29","870ecc30a9fe","1","CO_AUTHORED_WITH"
"881ad12f3573","870ecc30a9fe","1","CO_AUTHORED_WITH"
"6c0fb35b4c57","870ecc30a9fe","1","CO_AUTHORED_WITH"
"524de46f5c78","2592e5013cb5","1","CO_AUTHORED_WITH"
"524de46f5c78","0b540f889747","1","CO_AUTHORED_WITH"
"524de46f5c78","63ac55128c29","2","CO_AUTHORED_WITH"
"881ad12f3573","524de46f5c78","2","CO_AUTHORED_WITH"
"6c0fb35b4c57","524de46f5c78","3","CO_AUTHORED_WITH"
"2592e5013cb5","0b540f889747","2","CO_AUTHORED_WITH"
"2592e5013cb5","63ac55128c29","2","CO_AUTHORED_WITH"
"881ad12f3573","2592e5013cb5","1","CO_AUTHORED_WITH"
"6c0fb35b4c57","2592e5013cb5","1","CO_AUTHORED_WITH"
"63ac55128c29","0b540f889747","4","CO_AUTHORED_WITH"
"881ad12f3573","0b540f889747","3","CO_AUTHORED_WITH"
"6c0fb35b4c57","0b540f889747","4","CO_AUTHORED_WITH"
"881ad12f3573","63ac55128c29","2","CO_AUTHORED_WITH"
"6c0fb35b4c57","63ac55128c29","3","CO_AUTHORED_WITH"
"6c0fb35b4c57","881ad12f3573","5","CO_AUTHORED_WITH"
"0dd50f2c1e1c","2f3c0e297888","2","CO_AUTHORED_WITH"
"0dd50f2c1e1c","8d9a2b51fdf9","2","CO_AUTHORED_WITH"
"0dd50f2c1e1c","57f80de08814","1","CO_AUTHORED_WITH"
"233b35dbed77","0dd50f2c1e1c","1","CO_AUTHORED_WITH"
"df67f80a1599","0dd50f2c1e1c","4","CO_AUTHORED_WITH"
"d72db0d25ebd","0dd50f2c1e1c","1","CO_AUTHORED_WITH"
"0dd50f2c1e1c","db02337589fc","1","CO_AUTHORED_WITH"
"2f3c0e297888","8d9a2b51fdf9","2","CO_AUTHORED_WITH"
"2f3c0e297888","57f80de08814","1","CO_AUTHORED_WITH"
"233b35dbed77","2f3c0e297888","1","CO_AUTHORED_WITH"
"df67f80a1599","2f3c0e297888","2","CO_AUTHORED_WITH"
"d72db0d25ebd","2f3c0e297888","1","CO_AUTHORED_WITH"
"2f3c0e297888","db02337589fc","1","CO_AUTHORED_WITH"
"57f80de08814","8d9a2b51fdf9","1","CO_AUTHORED_WITH"
"233b35dbed77","8d9a2b51fdf9","1","CO_AUTHORED_WITH"
"df67f80a1599","8d9a2b51fdf9","2","CO_AUTHORED_WITH"
"d72db0d25ebd","8d9a2b51fdf9","1","CO_AUTHORED_WITH"
"db02337589fc","8d9a2b51fdf9","1","CO_AUTHORED_WITH"
"233b35dbed77","57f80de08814","1","CO_AUTHORED_WITH"
"df67f80a1599","57f80de08814","1","CO_AUTHORED_WITH"
"d72db0d25ebd","57f80de08814","1","CO_AUTHORED_WITH"
"db02337589fc","57f80de08814","1","CO_AUTHORED_WITH"
"233b35dbed77","df67f80a1599","1","CO_AUTHORED_WITH"
"233b35dbed77","d72db0d25ebd","1","CO_AUTHORED_WITH"
"233b35dbed77","db02337589fc","1","CO_AUTHORED_WITH"
"d72db0d25ebd","df67f80a1599","1","CO_AUTHORED_WITH"
"df67f80a1599","db02337589fc","1","CO_AUTHORED_WITH"
"d72db0d25ebd","db02337589fc","1","CO_AUTHORED_WITH"
